Source,job_title,company_name,salary,location,short_summary,link
indeed,Order to Cash Processing-Cash Application Processing,,,,Please note that this role may require you to work in rotational shifts.,https://www.indeed.co.in/rc/clk?jk=8b8af9525717243e&fccid=a4e4e2eaf26690c9&vjs=3
indeed,Computer Operator,Rajarajeswari Group of Institutions,"₹8,000 - ₹10,000 a month",,"Salary: ₹8,000.00 to ₹10,000.00 /month.",https://www.indeed.co.in/company/Rajarajeswari-Group-of-Institutions/jobs/Computer-Operator-9f5e5100cdc8900f?fccid=eebb44e1a80d594f&vjs=3
indeed,Sales Executive,Redlands Ashlyn Motors PLC,"₹12,000 - ₹15,000 a month",,Coordination with Govt Dept for taking subsidies.,https://www.indeed.co.in/company/Redlands-Ashlyn-Group/jobs/Sales-Executive-bbc198a23653ab57?fccid=53ba18e58cf6217a&vjs=3
